chat_id,baseline/test,agent_name,promise_to_pay,promise_amount
p0spK5O,baseline,Cam Woods,0,N/A
StlK9CcwEZ,baseline,Bryan Murphy,0,N/A
t0b70bL,baseline,Cam Woods,0,N/A
78Z0hjS,baseline,Bryan Murphy,1,87.88
1K4pz1z5Y9,baseline,Cam Woods,1,619.28
e7Cn891,baseline,Bryan Murphy,1,5.05
H5PUa8N,baseline,Bryan Murphy,0,N/A
x8X858hzTG,baseline,Bryan Murphy,1,685.18
b4HsmX3,baseline,Cam Woods,1,578.57
862iY6A,baseline,Cece Turner,0,N/A
OSn162N,baseline,Cam Woods,1,236.47
BNKcAGp7uL,baseline,Bryan Murphy,0,N/A
3L4g2Yp97V,baseline,Bryan Murphy,1,14.58
Jjo0FeD,baseline,Bryan Murphy,0,N/A
7Mao3QJ,baseline,Cece Turner,1,415.32
r0y2yS2,baseline,Bryan Murphy,1,208.52
7gYOsLxRHj,baseline,Bryan Murphy,1,835.78
FF457Cg3e9,baseline,Cam Woods,0,N/A
3kU54WW,baseline,Cece Turner,0,N/A
o1EDh4D,baseline,Bryan Murphy,0,N/A
Bc9ZUGmSM6,baseline,Bryan Murphy,1,120.96
LVegf01,baseline,Cece Turner,1,816
pgrrw37,baseline,Cece Turner,0,N/A
W2IqPEkNsO,baseline,Cece Turner,0,N/A
48ubN4v82D,baseline,Cece Turner,0,N/A
i375bsA,baseline,Cam Woods,0,N/A
V57OCjL,baseline,Bryan Murphy,1,53.25
7Bd628P,baseline,Cam Woods,0,N/A
L28kZ9z1l5,baseline,Bryan Murphy,0,N/A
P0ZyKkS,baseline,Cam Woods,0,N/A
l06T1rG,baseline,Cam Woods,0,N/A
9LVljkct6G,baseline,Cece Turner,0,N/A
Dg65mj9,baseline,Cam Woods,1,196.48
USwpBC7,baseline,Cece Turner,0,N/A
cZfEV4hqY7,baseline,Bryan Murphy,0,N/A
mP8Me7juY2,baseline,Bryan Murphy,1,412.28
64079M0,baseline,Bryan Murphy,1,544.19
05x1h03,baseline,Cam Woods,1,867.28
B63v2G0,baseline,Cam Woods,0,N/A
3UQx0gtgtr,baseline,Bryan Murphy,0,N/A
X2y36fb56L,baseline,Cam Woods,1,399.71
u9gVer5,baseline,Bryan Murphy,1,793.21
t8UnGE3,baseline,Bryan Murphy,0,N/A
bKf5fE8,baseline,Cam Woods,0,N/A
vZSrms5,baseline,Bryan Murphy,1,483.04
WwZoSZC,baseline,Cece Turner,0,N/A
N20qrpT,baseline,Cece Turner,0,N/A
bt99pbG,baseline,Cece Turner,0,N/A
iIC93ZhA3t,baseline,Cam Woods,0,N/A
xlGAsN3,baseline,Cam Woods,1,326.48
XkC6obM,baseline,Cam Woods,1,126.08
23cyDsj6uL,baseline,Bryan Murphy,0,N/A
xtdizuP,baseline,Cece Turner,1,599.59
0xAhbr3,baseline,Cece Turner,0,N/A
bymWDDlCBj,baseline,Cece Turner,0,N/A
1yj5xMS,baseline,Cam Woods,0,N/A
Sw5G6PqJmu,baseline,Cece Turner,0,N/A
h6kchHZ,baseline,Cece Turner,0,N/A
83JXjW9,baseline,Cam Woods,1,209.55
4Uw3X4y4V0,baseline,Cece Turner,0,N/A
APr9uDfoZ6,baseline,Bryan Murphy,1,324.6
93u0tkS,baseline,Cece Turner,0,N/A
1iI6768,baseline,Cam Woods,0,N/A
T46eMC8,baseline,Bryan Murphy,1,157.31
S6xO7aasxm,baseline,Cece Turner,0,N/A
46UfgygtHe,baseline,Cam Woods,1,362.03
7wwpcJZ,baseline,Cece Turner,1,365.75
1Nw7gPx3q5,baseline,Cece Turner,0,N/A
GD6t181,baseline,Bryan Murphy,0,N/A
tIH2PlW,baseline,Bryan Murphy,0,N/A
1pyvXl9,baseline,Bryan Murphy,1,321.55
pqQQxBgUFy,baseline,Bryan Murphy,1,66.75
2wa3V3nPNN,baseline,Bryan Murphy,1,421.65
emi1Zz3,baseline,Cece Turner,0,N/A
8XP1iO9,baseline,Cam Woods,1,148
f7mAqXq1sF,baseline,Bryan Murphy,1,721.55
49ksRR5,baseline,Bryan Murphy,0,N/A
E836szS,baseline,Cam Woods,0,N/A
3g24G5nj42,baseline,Cece Turner,0,N/A
Puk8O74,baseline,Cam Woods,1,999.23
44O5L66,baseline,Cam Woods,1,371.14
6F902Q4,baseline,Cece Turner,0,N/A
M5DFsWK,baseline,Cece Turner,0,N/A
b15kodI,baseline,Bryan Murphy,0,N/A
7lYb6AN,baseline,Cam Woods,0,N/A
8Lt00cC,baseline,Bryan Murphy,1,878.83
Zye88U7,baseline,Cam Woods,0,N/A
dHZ251E,baseline,Cece Turner,0,N/A
ECUxmsY,baseline,Bryan Murphy,1,111.04
Cy063am9C6,baseline,Cece Turner,0,N/A
B102e9T,baseline,Cam Woods,0,N/A
O1B7PVeir2,baseline,Cam Woods,1,544.13
zp54416,baseline,Cam Woods,1,727.5
Y6gO592,baseline,Bryan Murphy,1,357.96
b20z3WQ,baseline,Cece Turner,0,N/A
O1hpyZ9,baseline,Cece Turner,0,N/A
VlA4nmS,baseline,Cece Turner,0,N/A
0572CliBlW,baseline,Bryan Murphy,1,964.11
21L3tdJ,baseline,Cam Woods,0,N/A
35mE7T0,baseline,Cece Turner,0,N/A
9r2Lv9dX8Z,baseline,Bryan Murphy,1,2.4
mppa8bZ,baseline,Cece Turner,0,N/A
JL7fmOY,baseline,Bryan Murphy,0,N/A
C1tNf5u1l8,baseline,Cece Turner,0,N/A
N10ds03,baseline,Bryan Murphy,0,N/A
yuBix7zNwd,baseline,Cece Turner,0,N/A
RQC1grvxg5,baseline,Cece Turner,0,N/A
Jc7Qe9Y,baseline,Cam Woods,0,N/A
382X8pG,baseline,Cam Woods,0,N/A
E44xDJi22v,baseline,Cam Woods,0,N/A
ezXhIVrGU5,baseline,Cam Woods,0,N/A
2Xv4AqP,baseline,Cam Woods,0,N/A
1I289FZ,baseline,Cece Turner,0,N/A
QscfAD7,baseline,Cam Woods,0,N/A
hB3DaO8,baseline,Cam Woods,1,756.21
6kw2NtT,baseline,Bryan Murphy,1,203.68
P2Z1ew3,baseline,Cece Turner,0,N/A
en1P0dtYvE,baseline,Cece Turner,0,N/A
ApN5m2F,baseline,Cece Turner,0,N/A
7g3V4gm6l5,baseline,Cece Turner,0,N/A
y7Sg640,baseline,Cece Turner,1,182.1
iPQh1Tl2lH,baseline,Cece Turner,0,N/A
9ot1Zf4,baseline,Bryan Murphy,1,718.7
o0agUJ5,baseline,Cam Woods,1,267.37
E5nW44kc9K,baseline,Bryan Murphy,1,430.17
rA0o4ognxd,baseline,Bryan Murphy,1,548.86
x6YuuNQ,baseline,Cam Woods,0,N/A
5FuB45Z,baseline,Bryan Murphy,1,474.89
R0Q8qT7,baseline,Cam Woods,1,440.51
7RERB2qN2G,baseline,Cece Turner,1,582.53
2829400,baseline,Bryan Murphy,0,N/A
2Ly2zUbYej,baseline,Cece Turner,0,N/A
IjH03C1,baseline,Cece Turner,0,N/A
rOoxpt3,baseline,Cece Turner,0,N/A
6A3W23Y,baseline,Bryan Murphy,1,482
62w8jznm4G,baseline,Bryan Murphy,1,672.1
lJQ01RG,baseline,Cam Woods,1,536.66
MR498a4,baseline,Bryan Murphy,1,622.92
QUkhr1J,baseline,Cece Turner,1,454.31
Wyfo4UdFU8,baseline,Cam Woods,1,830.05
7P6UurmqGq,baseline,Bryan Murphy,1,966.08
s2Te14g41D,baseline,Bryan Murphy,0,N/A
m7jqh8A,baseline,Cece Turner,0,N/A
3ro9AOB,baseline,Cam Woods,0,N/A
tdPN67V,baseline,Cam Woods,1,994.78
ZVyPEMebd9,baseline,Cece Turner,1,336.68
YEHVfAM,baseline,Cece Turner,0,N/A
9xXVlKxHTp,baseline,Cam Woods,1,265.68
0MMKF39,baseline,Cece Turner,0,N/A
106f0Xqj7D,baseline,Cece Turner,0,N/A
Bj1AP6wsSN,baseline,Bryan Murphy,1,195.45
S8xJmTlTfT,baseline,Cece Turner,0,N/A
d6UB92A,baseline,Bryan Murphy,0,N/A
INxi7p6,baseline,Bryan Murphy,0,N/A
11JyCVx191,baseline,Cece Turner,0,N/A
avSj59U,baseline,Cece Turner,1,330.03
0G48l1cW9S,baseline,Bryan Murphy,1,62.73
D689In8,baseline,Cam Woods,0,N/A
wJ7XGyF,baseline,Cece Turner,0,N/A
OQZ0xgZ,baseline,Bryan Murphy,1,806.39
3naOatP,baseline,Bryan Murphy,0,N/A
hZI6q6E,baseline,Bryan Murphy,0,N/A
N44UFwk1Q6,baseline,Bryan Murphy,1,55.55
2bzaSPpT76,baseline,Bryan Murphy,1,608.82
u9pWPS2,baseline,Cam Woods,1,492.35
0p87eOG,baseline,Bryan Murphy,1,670.06
tQZKeM6,baseline,Cam Woods,1,172.45
sY7uT94,baseline,Bryan Murphy,0,N/A
MuKf68ek4H,baseline,Cam Woods,0,N/A
N5682J3,baseline,Cam Woods,0,N/A
4Qrdx9ul04,baseline,Bryan Murphy,0,N/A
DwRDg7V,baseline,Cece Turner,0,N/A
nPr6BZ1,baseline,Bryan Murphy,1,734.34
kxvZT79,baseline,Bryan Murphy,0,N/A
iQj3vls9FC,baseline,Cam Woods,0,N/A
e6kGfL8,baseline,Bryan Murphy,1,390.33
yvMSE32,baseline,Bryan Murphy,0,N/A
z6ZhH1P,baseline,Cece Turner,0,N/A
Ad0Q0Pb0SV,baseline,Cam Woods,0,N/A
c7DTRrm0s3,baseline,Cece Turner,0,N/A
1f7oh6C,baseline,Bryan Murphy,0,N/A
k3D66aT,baseline,Bryan Murphy,1,611.5
elHj3Yb941,baseline,Bryan Murphy,1,721.87
qL0saZB,baseline,Bryan Murphy,1,328.45
TGj37heid3,baseline,Cece Turner,0,N/A
k9s6o8uiV0,baseline,Cam Woods,0,N/A
C3VZfbT,baseline,Cam Woods,0,N/A
kQ3zEiF,baseline,Cece Turner,0,N/A
DWveBZk367,baseline,Bryan Murphy,1,30.17
Y93hJ2l7L3,baseline,Cam Woods,0,N/A
9Lu4Ft2,baseline,Bryan Murphy,1,656.99
XPTh8B3,baseline,Cam Woods,0,N/A
0cr1Lz1,baseline,Cam Woods,1,616.81
mw9H3A9,baseline,Bryan Murphy,0,N/A
Ri0Hqr8,baseline,Bryan Murphy,1,11.62
6Wzrus0,baseline,Bryan Murphy,0,N/A
qwxMPE7,baseline,Bryan Murphy,0,N/A
mRxM9vyVi9,baseline,Cam Woods,0,N/A
q0rbo35,baseline,Cam Woods,0,N/A
OMmC5AP,baseline,Bryan Murphy,1,594.92
0Gc8ySW,baseline,Bryan Murphy,0,N/A
2li7REH,baseline,Bryan Murphy,1,567.24
GI23K7R,baseline,Cece Turner,0,N/A
JbSVmvA,baseline,Bryan Murphy,1,816.49
8kMQc87,baseline,Cam Woods,1,200.64
It3EcA6,baseline,Cam Woods,1,596.05
s21XoXnw8L,baseline,Cece Turner,0,N/A
1k9K3k9,baseline,Bryan Murphy,0,N/A
uLgO5k5,baseline,Cam Woods,1,327.96
7EzkgfZ,baseline,Cam Woods,0,N/A
5ovE0CiI57,baseline,Cece Turner,0,N/A
18vkK3V,baseline,Bryan Murphy,0,N/A
A4U53ckht5,baseline,Cam Woods,0,N/A
L158Jo3,baseline,Bryan Murphy,1,936.47
t9EJi1q44b,baseline,Cam Woods,0,N/A
AJ9hUiy8do,baseline,Cam Woods,1,281.57
93brb8iBs5,baseline,Cece Turner,0,N/A
Zwap9OgA7l,baseline,Cece Turner,0,N/A
UGwC84jlC5,baseline,Bryan Murphy,0,N/A
H2bsn56,baseline,Cece Turner,0,N/A
CiEsL9dJcS,baseline,Bryan Murphy,1,815.55
pCn2SaxRtX,baseline,Bryan Murphy,1,405.88
Ohfiri4,baseline,Bryan Murphy,0,N/A
5bbI2ZgfnY,baseline,Cece Turner,0,N/A
AR8f3t1,baseline,Cam Woods,1,366.08
wFw6Txl5NI,baseline,Bryan Murphy,0,N/A
bVO2g14,baseline,Bryan Murphy,1,772.26
wABdxs5,baseline,Cam Woods,0,N/A
1vYPpw4,baseline,Cece Turner,0,N/A
5V5iJvvrX8,baseline,Bryan Murphy,1,350.88
Z27VSG9,baseline,Cam Woods,0,N/A
894Es9mfAO,baseline,Cam Woods,1,536.02
BQzN31V,baseline,Cam Woods,0,N/A
RodyEYtFrB,baseline,Cece Turner,0,N/A
6pI2Nu4,baseline,Bryan Murphy,0,N/A
T9ebud0,baseline,Bryan Murphy,0,N/A
3bjCS9eNy9,baseline,Cece Turner,1,526.23
3ZP4NfG,baseline,Bryan Murphy,1,510.43
KNRL0icHOp,baseline,Cam Woods,0,N/A
I3K7X4m6Ti,baseline,Bryan Murphy,1,418.97
WdElPPE,baseline,Cam Woods,0,N/A
UmG9pDP,baseline,Bryan Murphy,0,N/A
luMKodH,baseline,Cam Woods,1,71.21
L78LJ4G,baseline,Cam Woods,0,N/A
9z670cw4aS,baseline,Bryan Murphy,1,878.28
078H5LN,baseline,Cece Turner,0,N/A
7hVQ71ndJR,baseline,Cam Woods,0,N/A
4vUWG79,baseline,Cam Woods,0,N/A
Z4jf047,baseline,Bryan Murphy,0,N/A
089q4LC,baseline,Bryan Murphy,0,N/A
Wt95H6A,baseline,Cam Woods,0,N/A
3N0UfS6,baseline,Cam Woods,0,N/A
gpiGCV5,baseline,Cece Turner,0,N/A
h1HP5M5,baseline,Cam Woods,1,673.62
o6E42Uhy6Q,baseline,Cece Turner,0,N/A
rUSsipzBUu,baseline,Cece Turner,0,N/A
gu1dPx2,baseline,Cece Turner,0,N/A
4k4BLl9,baseline,Bryan Murphy,1,425.35
BMu1T0A,baseline,Bryan Murphy,1,133.61
91BW8d3,baseline,Bryan Murphy,1,236.66
N9aVMv9,baseline,Cam Woods,1,906.38
M80VVHB,baseline,Cam Woods,0,N/A
MHosieP,baseline,Cam Woods,1,413.78
a766yhbt2X,baseline,Cece Turner,0,N/A
yK5MS8M,baseline,Cece Turner,0,N/A
82A6g12,baseline,Cece Turner,0,N/A
g4Id5Nw3Hm,baseline,Cece Turner,0,N/A
dPKN3FoMiZ,baseline,Cam Woods,0,N/A
HTg9ydt55m,baseline,Cece Turner,1,125.41
t0DLxxX,baseline,Bryan Murphy,0,N/A
4vD13nv8md,baseline,Cece Turner,0,N/A
3jAZ03qS22,baseline,Cece Turner,0,N/A
F48o7hidE1,baseline,Cece Turner,0,N/A
t1Om59C,baseline,Cam Woods,1,472.33
Iao6V71,baseline,Cam Woods,0,N/A
3NaX592,baseline,Bryan Murphy,1,374.33
1VriSqH,baseline,Cam Woods,0,N/A
6Ja0d25,baseline,Bryan Murphy,0,N/A
vRdUTDuPef,baseline,Cam Woods,0,N/A
5YqCb3J,baseline,Bryan Murphy,0,N/A
3b4M32bG1L,baseline,Bryan Murphy,0,N/A
p99o7B4,baseline,Bryan Murphy,1,594.19
8b99zhj7rc,baseline,Cece Turner,0,N/A
qoLpNFf3Yf,baseline,Cece Turner,0,N/A
XY1C2o4,baseline,Cece Turner,0,N/A
s0A413R,baseline,Cam Woods,0,N/A
QqTksA8,baseline,Cece Turner,0,N/A
71u012Y,baseline,Cece Turner,0,N/A
n9WK7fuif9,baseline,Cam Woods,1,311.8
i8LWnkI,baseline,Cam Woods,0,N/A
V01shBc2eM,baseline,Cece Turner,0,N/A
YlgmveF,baseline,Cam Woods,0,N/A
3q70655,baseline,Bryan Murphy,1,485.95
EBU0yglC64,baseline,Bryan Murphy,1,781.43
XeUpSrpH6X,baseline,Cece Turner,0,N/A
GIP6B9mIXU,baseline,Bryan Murphy,0,N/A
ebA1iXR,baseline,Cece Turner,0,N/A
WAwgA8Y,baseline,Cece Turner,0,N/A
wu58186,baseline,Cece Turner,0,N/A
f21KN0bf25,baseline,Cam Woods,0,N/A
sSYqYV9,baseline,Bryan Murphy,1,661.78
4rN7ba2,baseline,Cece Turner,0,N/A
FvC4nUxhSK,baseline,Cam Woods,0,N/A
252EWB5,baseline,Cam Woods,1,835.44
3W71jSZ,baseline,Cece Turner,1,624.07
93mjHt6,baseline,Bryan Murphy,1,129.27
k5NWm4U,baseline,Cam Woods,0,N/A
0UGVAHuxXK,baseline,Bryan Murphy,0,N/A
3pX8feZ,baseline,Cam Woods,1,324.61
V4UyzFW,baseline,Cam Woods,1,46.69
IDOV020,baseline,Cam Woods,1,75.47
21dJ330,baseline,Bryan Murphy,1,308.39
bGUGM8uMLK,baseline,Cece Turner,1,473.57
Q43Fo3l5iS,baseline,Cece Turner,0,N/A
qjBj63A,baseline,Cece Turner,0,N/A
8jBcb6pMk3,baseline,Bryan Murphy,0,N/A
g1VL5G4,baseline,Cam Woods,0,N/A
As6835N,baseline,Bryan Murphy,1,882.82
tGz6VZD,baseline,Cam Woods,0,N/A
9M5py8K,baseline,Cece Turner,1,372.23
zf4gA6D,baseline,Bryan Murphy,1,51.95
